effect,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
kick_humming,12.7344,-0.233096,-0.620261,-0.249164,-0.360842,-0.507596,-0.322876,-0.509045,-0.421555,-0.240022,-0.102482,-0.144617,-0.0372678
kick_humming,11.2441,-0.638241,-0.486448,-0.261569,-0.258048,-0.393289,-0.300724,-0.310688,-0.40895,-0.146411,-0.14309,-0.123359,-0.0490276
kick_humming,13.4327,-0.222309,-0.440085,-0.44484,-0.395337,-0.510276,-0.409167,-0.463256,-0.462156,-0.280441,-0.186642,-0.0955091,-0.0494639
kick_humming,12.3496,-0.106598,-0.441864,-0.196695,-0.311651,-0.567659,-0.446384,-0.450163,-0.413951,-0.258384,-0.160372,-0.135951,-0.0458539
kick_humming,10.8208,-0.0447956,-0.28434,-0.246741,-0.245131,-0.375158,-0.325209,-0.496103,-0.350894,-0.239305,-0.193928,-0.134147,-0.0435953
kick_humming,11.4618,-0.248198,-0.242892,-0.314943,-0.260132,-0.463258,-0.365568,-0.403582,-0.38541,-0.228981,-0.162693,-0.04184,-0.0133314
kick_humming,10.4068,-0.343614,-0.146716,-0.205325,-0.142902,-0.343945,-0.346654,-0.385954,-0.335418,-0.2558,-0.146453,-0.0976011,-0.0304794
kick_humming,11.3262,0.0501278,-0.342116,-0.237131,-0.250846,-0.483121,-0.326926,-0.433132,-0.430106,-0.277934,-0.204064,-0.143392,-0.0378513
kick_humming,10.3379,-0.138434,-0.0970781,-0.187121,-0.324882,-0.40979,-0.245958,-0.369061,-0.38471,-0.217593,-0.230882,-0.117017,-0.0243375
kick_humming,11.9228,0.0286396,-0.469378,-0.394787,-0.204952,-0.552554,-0.349192,-0.393633,-0.430909,-0.236149,-0.175365,-0.0973117,-0.00398379
kick_humming,9.87428,-0.76737,-0.163465,-0.170404,-0.248655,-0.400394,-0.281155,-0.281178,-0.336159,-0.189483,-0.101036,-0.0924897,0.0107828
kick_humming,10.7402,-0.296215,-0.159161,-0.247202,-0.227126,-0.55172,-0.397346,-0.226314,-0.304638,-0.172551,-0.140519,-0.090306,-0.0314219
kick_humming,11.4513,-0.475076,-0.514025,-0.429674,-0.326631,-0.455987,-0.261731,-0.338509,-0.351199,-0.149463,-0.0965225,-0.0581269,0.00421377
kick_humming,12.3196,-0.124205,-0.288668,-0.391063,-0.330557,-0.601428,-0.372891,-0.440078,-0.453081,-0.172224,-0.181915,-0.102402,-0.0575549
kick_humming,11.2797,-0.220265,-0.0755476,-0.280506,-0.234213,-0.446364,-0.393814,-0.336469,-0.46431,-0.338338,-0.238905,-0.113825,-0.164098
